"PageViews","TimeSpent","Version","Conversion"
4,7.75300039135316,"B",0
7,8.11239072278538,"A",0
4,5.8908339232991,"A",0
8,16.5130569721132,"B",0
9,8.08474981196621,"A",0
2,12.6728341461797,"B",0
5,0.504752088803798,"A",0
8,0.0552819683216512,"A",0
5,1.6561011994521,"B",0
5,16.7995831342905,"B",0
9,1.91975739939253,"A",0
5,12.3216912628789,"B",1
6,5.15600995193963,"A",0
5,4.41114093130454,"A",0
2,6.28402094886103,"B",0
8,8.06281904753694,"B",1
3,6.59118843794265,"B",0
2,20.7789931881586,"B",0
4,0.263268927577883,"B",0
9,2.50618781987578,"B",0
8,0.123856313397463,"A",0
6,6.33288375258842,"A",1
6,2.16903702812323,"B",0
11,4.43069394305348,"A",0
6,21.2559413749138,"A",0
6,3.34644359722733,"B",0
5,7.61617608804652,"A",0
5,4.60951152862981,"A",0
4,0.49757948378101,"B",1
3,5.53930044517317,"A",0
9,4.21327496692538,"A",0
8,17.820296608892,"B",0
6,4.64950883900747,"B",0
7,5.60397229314246,"A",0
1,3.5435413941741,"B",0
5,0.395278214710486,"B",0
6,4.23133503925055,"B",0
3,8.63689119246253,"A",0
4,7.02475743618258,"B",0
3,14.180627894931,"B",0
3,0.971357277128845,"B",1
4,2.57018880293093,"B",0
4,2.32029199553654,"A",1
4,0.418494420126081,"A",0
3,0.137800591532141,"A",0
3,24.5000467676867,"A",0
3,23.0951576817194,"A",0
5,0.9756492347946,"B",1
4,2.10366100538522,"B",0
7,2.15273355320096,"A",0
2,8.9191355842019,"A",0
5,4.37226759968325,"B",0
7,0.658327847253531,"B",0
2,2.68469621310297,"A",0
5,1.22445913823321,"A",0
3,8.29230362979048,"B",0
3,9.42458169039735,"B",0
6,25.4872608263244,"A",0
8,0.934277158696204,"A",0
4,8.79601610572312,"A",0
6,8.15311680145958,"A",0
2,0.734297387945624,"A",0
4,2.33387220976874,"B",0
4,0.294917194583518,"B",1
7,0.428741410715214,"A",1
5,0.117188816424459,"A",0
7,7.30189018853405,"B",0
7,0.155127307027016,"A",0
